03/09/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58186.29731727	NaN	NaN	NaN
58186.29732917	NaN	NaN	NaN
58186.29734107	NaN	NaN	NaN
58186.29735298	NaN	NaN	NaN
58186.29736487	NaN	NaN	NaN
58186.29737680	NaN	NaN	NaN
58186.29738870	NaN	NaN	NaN
58186.29740061	NaN	NaN	NaN
58186.29741252	NaN	NaN	NaN
58186.29742441	NaN	NaN	NaN
58186.29743631	NaN	NaN	NaN
58186.29744822	NaN	NaN	NaN
58186.29746014	NaN	NaN	NaN
58186.29747204	NaN	NaN	NaN
58186.29748395	NaN	NaN	NaN
58186.29749585	NaN	NaN	NaN
58186.29750776	NaN	NaN	NaN
58186.29751966	NaN	NaN	NaN
58186.29753158	NaN	NaN	NaN
58186.29754347	NaN	NaN	NaN
58186.29755538	NaN	NaN	NaN
58186.29756730	NaN	NaN	NaN
58186.29757920	NaN	NaN	NaN
58186.29759110	NaN	NaN	NaN
58186.29760301	NaN	NaN	NaN
58186.29761493	NaN	NaN	NaN
58186.29762686	NaN	NaN	NaN
58186.29763877	NaN	NaN	NaN
58186.29765068	NaN	NaN	NaN
58186.29766258	NaN	NaN	NaN
58186.29767448	NaN	NaN	NaN
58186.29768639	NaN	NaN	NaN
58186.29769830	NaN	NaN	NaN
58186.29771020	NaN	NaN	NaN
58186.29772211	NaN	NaN	NaN
58186.29773401	NaN	NaN	NaN
58186.29774590	NaN	NaN	NaN
58186.29775781	NaN	NaN	NaN
58186.29776971	NaN	NaN	NaN
58186.29778163	NaN	NaN	NaN
58186.29779354	NaN	NaN	NaN
58186.29780544	NaN	NaN	NaN
58186.29781734	NaN	NaN	NaN
58186.29782925	NaN	NaN	NaN
58186.29784116	NaN	NaN	NaN
58186.29785307	NaN	NaN	NaN
58186.29786497	NaN	NaN	NaN
58186.29787689	NaN	NaN	NaN
58186.29788879	NaN	NaN	NaN
58186.29790070	NaN	NaN	NaN
58186.29791261	NaN	NaN	NaN
58186.29792451	NaN	NaN	NaN
58186.29793642	NaN	NaN	NaN
58186.29794832	NaN	NaN	NaN
58186.29796022	NaN	NaN	NaN
58186.29797212	NaN	NaN	NaN
58186.29798403	NaN	NaN	NaN
58186.29799595	NaN	NaN	NaN
58186.29800787	NaN	NaN	NaN
58186.29801978	NaN	NaN	NaN
58186.29803171	NaN	NaN	NaN
58186.29804360	NaN	NaN	NaN
58186.29805552	NaN	NaN	NaN
58186.29806742	NaN	NaN	NaN
58186.29807932	NaN	NaN	NaN
58186.29809123	NaN	NaN	NaN
58186.29810314	NaN	NaN	NaN
58186.29811504	NaN	NaN	NaN
58186.29812694	NaN	NaN	NaN
58186.29813885	NaN	NaN	NaN
58186.29815077	NaN	NaN	NaN
58186.29816269	NaN	NaN	NaN
58186.29817460	NaN	NaN	NaN
58186.29818650	NaN	NaN	NaN
58186.29819840	NaN	NaN	NaN
58186.29821031	NaN	NaN	NaN
58186.29822223	NaN	NaN	NaN
58186.29823414	NaN	NaN	NaN
58186.29824605	NaN	NaN	NaN
58186.29825795	NaN	NaN	NaN
58186.29826985	NaN	NaN	NaN
58186.29828175	NaN	NaN	NaN
58186.29829365	NaN	NaN	NaN
